symbol,accuracy
ARKM_USD,0.7265135699373695
ARPA_USD,0.750465549348231
ARB_USD,0.7594059405940594
APT_USD,0.7377777777777778
AST_USD,0.6719242902208202
ASM_USD,0.7313278008298755
ATOM_USD,0.7452107279693486
AUCTION_USD,0.6854764107308048
AUDIO_USD,0.7605473204104903
AVAX_USD,0.7739965095986039
AURORA_USD,0.7175025588536336
AVT_USD,0.6155988857938719
AXL_USD,0.6964856230031949
AXS_USD,0.6987951807228916
BADGER_USD,0.8028673835125448
BAL_USD,0.758893280632411
BAND_USD,0.7487733071638861
BAT_USD,0.6870937790157846
BCH_USD,0.7348703170028819
BICO_USD,0.819623389494549
BIGTIME_USD,0.7372134038800705
BLAST_USD,0.7142857142857143
BLZ_USD,0.6684118673647469
BLUR_USD,0.7207112970711297
BNT_USD,0.8507718696397941
BOBA_USD,0.744060475161987
BONK_USD,0.7450331125827815
BTRST_USD,0.7098646034816247
BTC_USD,0.8522364217252396
C98_USD,0.7007481296758105
CBETH_USD,0.7820284697508897
CGLD_USD,0.7159090909090909
CHZ_USD,0.7328990228013029
CLV_USD,0.6049382716049383
CORECHAIN_USD,0.7491601343784995
COMP_USD,0.7271815446339017
COTI_USD,0.6948955916473318
COW_USD,0.7214885954381752
CRO_USD,0.7609359104781281
CRV_USD,0.6986986986986987
CTSI_USD,0.7132784958871915
CTX_USD,0.8122362869198312
CVC_USD,0.7920585161964472
CVX_USD,0.703923900118906
DASH_USD,0.6814580031695721
DNT_USD,0.6650326797385621
DIMO_USD,0.637546468401487
DIA_USD,0.7282608695652174
DEXT_USD,0.6587837837837838
DOGE_USD,0.734375
DRIFT_USD,0.6334841628959276
DOT_USD,0.7666666666666667
ELA_USD,0.7228260869565217
EGLD_USD,0.7268041237113402
ENS_USD,0.7168742921857305
EOS_USD,0.7584905660377359
ETC_USD,0.7813765182186235
ETHFI_USD,0.7146666666666667
EUL_USD,0.760427807486631
ETH_USD,0.8410438908659549
FAI_USD,0.7295238095238096
FARTCOIN_USD,0.6394779771615008
FARM_USD,0.7588652482269503
FET_USD,0.6833046471600689
FIDA_USD,0.7002583979328165
FIGHT_USD,0.7083333333333334
FIL_USD,0.7274143302180686
FLOKI_USD,0.7642679900744417
FLOCK_USD,0.6633540372670808
FIS_USD,0.6215827338129496
FLOW_USD,0.7834394904458599
FLUID_USD,0.7481108312342569
FLR_USD,0.7634112792297112
FORT_USD,0.7536231884057971
FORTH_USD,0.8031591737545565
FOX_USD,0.65625
FUN1_USD,0.5816993464052288
GHST_USD,0.6828478964401294
GFI_USD,0.7714285714285715
GIGA_USD,0.6562942008486563
GLM_USD,0.705710102489019
GMT_USD,0.7281553398058253
GNO_USD,0.7294429708222812
GODS_USD,0.766612641815235
GST_USD,0.7310647639956093
GRT_USD,0.7662835249042146
HBAR_USD,0.8169014084507042
HFT_USD,0.7040133779264214
HNT_USD,0.7510668563300142
HIGH_USD,0.7678571428571429
HOME_USD,0.6828358208955224
HONEY_USD,0.6162162162162163
HOPR_USD,0.7783687943262412
G_USD,0.7364016736401674
HYPE_USD,0.759493670886076
HYPER_USD,0.7421875
ICP_USD,0.7035256410256411
IDEX_USD,0.6653696498054474
ILV_USD,0.7565359477124183
IMU_USD,0.5079365079365079
INDEX_USD,0.568
IMX_USD,0.7178988326848249
INJ_USD,0.6852173913043478
INX_USD,0.6744186046511628
INV_USD,0.6745562130177515
IRYS_USD,0.6481481481481481
JASMY_USD,0.701271186440678
2Z_USD,0.7066521264994547
